end,team,stone_index,x,y,distance_to_button
0,team0,0,-0.07920145243406296,39.199432373046875,0.704
0,team0,5,-0.629456639289856,37.890472412109375,0.876
0,team0,7,-0.15161359310150146,36.51869583129883,1.987
0,team1,0,-1.3030173778533936,39.409942626953125,1.589
0,team1,1,-0.6758819222450256,38.31443786621094,0.701
0,team1,2,-1.625494360923767,38.490440368652344,1.626
0,team1,3,-1.0838950872421265,36.5014762878418,2.274
0,team1,7,0.2231748402118683,37.520652770996094,1.004
1,team0,3,-0.0220493134111166,38.96305847167969,0.464
1,team0,6,0.23248401284217834,38.802303314208984,0.381
1,team0,7,-0.3096025586128235,38.097938537597656,0.507
1,team1,0,-0.428606241941452,39.57597351074219,1.158
1,team1,1,-0.9907520413398743,38.622798919677734,0.998
1,team1,4,-0.2705952525138855,37.252864837646484,1.276
1,team1,7,0.1972353458404541,38.03585433959961,0.504
2,team0,3,1.5149518251419067,37.50902557373047,1.81
2,team0,4,0.21700268983840942,38.9521484375,0.502
2,team0,5,-0.08487491309642792,38.643218994140625,0.166
2,team0,6,0.08836158365011215,37.745155334472656,0.76
2,team0,7,0.17271341383457184,37.14866638183594,1.362
2,team1,1,-0.7135403752326965,38.29512405395508,0.742
2,team1,2,-0.3538799285888672,38.508758544921875,0.354
2,team1,3,-0.3983062505722046,37.455543518066406,1.118
2,team1,7,1.8400095701217651,39.172237396240234,1.959
3,team0,3,-0.6583436131477356,38.08559799194336,0.778
3,team0,4,-0.30541351437568665,37.04179763793945,1.49
3,team0,5,0.46755144000053406,37.62815856933594,0.989
3,team0,6,-0.04201852157711983,37.733829498291016,0.767
3,team0,7,0.19869877398014069,37.149314880371094,1.365
3,team1,0,-0.8586812019348145,39.499122619628906,1.317
3,team1,1,-0.7576171159744263,38.512367248535156,0.758
3,team1,3,-0.05166267976164818,38.58663558959961,0.101
4,team0,0,-0.9107719659805298,38.48173904418945,0.911
4,team0,1,0.23591148853302002,38.359825134277344,0.274
4,team0,2,-0.3963302969932556,39.09755325317383,0.717
4,team0,3,0.025437280535697937,38.15060043334961,0.35
4,team0,4,-0.4043150544166565,37.45545196533203,1.12
4,team0,5,-0.2534891664981842,36.88844680786133,1.631
4,team0,6,0.361853688955307,37.18642807006836,1.363
4,team0,7,0.3139312267303467,36.35750961303711,2.165
4,team1,2,-0.33334603905677795,38.31787872314453,0.38
4,team1,4,0.474374383687973,37.98286056518555,0.702
4,team1,5,-1.0651503801345825,37.274139404296875,1.624
5,team0,0,1.2056570053100586,40.05481719970703,1.968
5,team0,1,-1.0792312622070312,38.213401794433594,1.117
5,team0,4,0.506047785282135,38.199668884277344,0.588
5,team0,5,0.12447414547204971,37.98834991455078,0.527
5,team0,6,-0.6026256680488586,37.75178146362305,0.961
5,team0,7,0.3696666359901428,36.886962890625,1.655
5,team1,0,-0.7603161931037903,39.57441329956055,1.316
5,team1,2,0.4267497956752777,38.546573638916016,0.429
5,team1,3,-0.3475145995616913,38.00537109375,0.605
5,team1,4,-0.12533432245254517,37.718658447265625,0.791
6,team0,2,-0.3042373061180115,37.83464813232422,0.732
6,team0,3,-0.21595412492752075,37.528175354003906,0.996
6,team0,4,1.7827341556549072,38.36209487915039,1.788
6,team0,5,0.05714920535683632,37.66752624511719,0.834
6,team0,6,0.4197406470775604,37.692134857177734,0.91
6,team0,7,0.0824747383594513,36.506561279296875,1.995
6,team1,1,-0.4993896484375,38.177310943603516,0.595
6,team1,4,0.42584720253944397,38.44950485229492,0.429
6,team1,5,0.03916382044553757,37.99476623535156,0.507
7,team0,1,0.024913741275668144,38.90374755859375,0.405
7,team0,4,-0.07963507622480392,37.8496208190918,0.655
7,team0,6,0.21832001209259033,37.0058708190918,1.51
7,team0,7,0.1592911332845688,36.34696578979492,2.159
7,team1,0,-0.306814044713974,38.683414459228516,0.357
7,team1,1,0.26692795753479004,38.48308181762695,0.267
7,team1,2,-0.02055809274315834,38.381004333496094,0.121
7,team1,4,-0.454780250787735,37.6998291015625,0.92
7,team1,5,1.085052251815796,37.97085952758789,1.207
7,team1,7,0.5724432468414307,37.779075622558594,0.921
8,team0,2,0.23373261094093323,38.2447509765625,0.346
8,team0,4,-0.36763736605644226,37.68562698364258,0.894
8,team0,6,0.506449818611145,37.24381637573242,1.354
8,team0,7,0.19787828624248505,36.99264907836914,1.52
8,team1,0,0.16402357816696167,38.90422058105469,0.436
8,team1,1,-0.6846299171447754,38.543861389160156,0.686
8,team1,2,-0.9336801171302795,37.60029220581055,1.297
8,team1,3,-0.40066489577293396,38.05804443359375,0.597
8,team1,5,-0.4640005826950073,37.213897705078125,1.367
9,team0,4,-1.9099663496017456,37.201114654541016,2.31
9,team0,5,0.2890840172767639,37.632415771484375,0.914
9,team0,6,-0.1373755931854248,37.68456268310547,0.827
9,team0,7,0.07140424847602844,36.73994827270508,1.761
9,team1,3,-0.15509265661239624,38.29310607910156,0.259
9,team1,4,-0.5541247129440308,37.52750778198242,1.119
