end,start_first,team0_points,team1_points,team0_house_count,team1_house_count,team0_house_coords,team1_house_coords,ts
0,team0,0,0,0,0,"[]","[]",2026-02-25T17:00:00.574
1,team1,1,0,0,0,"[]","[]",2026-02-25T17:00:01.451
2,team1,1,0,0,0,"[]","[]",2026-02-25T17:00:02.299
3,team1,0,0,0,0,"[]","[]",2026-02-25T17:00:03.120
4,team1,1,0,0,0,"[]","[]",2026-02-25T17:00:03.967
5,team1,1,0,0,0,"[]","[]",2026-02-25T17:00:04.852
6,team1,0,0,0,0,"[]","[]",2026-02-25T17:00:05.692
7,team1,0,0,0,0,"[]","[]",2026-02-25T17:00:06.553
8,team1,0,0,0,0,"[]","[]",2026-02-25T17:00:07.523
9,team1,3,0,0,0,"[]","[]",2026-02-25T17:00:08.376
