end,shot,next_shot,translational_velocity,angular_velocity,shot_angle
0,8,None,2.3980556810088807,-1.570796327,1.516084907437027
1,8,None,3.9997568907449215,0.0,1.569127597680703
2,8,None,4.003402370096803,0.0,1.560632714987239
3,8,None,2.3908895185928496,-1.570796327,1.5143841294808318
4,8,None,2.392007743268954,-1.570796327,1.5143689278794654
5,8,None,2.3955178496348197,-1.570796327,1.5151469164083053
6,8,None,2.3973383072482477,-1.570796327,1.5171198143565667
7,8,None,2.4134044859811326,-1.570796327,1.5195219381000853
8,8,None,2.3985046295578605,-1.570796327,1.516445052605502
9,8,None,4.018903925117433,0.0,1.5853203818467798
